"Prov;Tahun;IPM;KMSK;PENGRN;PE;JLMSK;JLPGGRN;PAD;TOTPEN;BLEKON;BLKES;BLPEDD;RSMAND"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"
";;;;;;;;;;;;;"

